f,p,Pwr,b2mo_ar,b2mo_ne,b2mo_he
50.0,2,190.0,0.51071056158013,1.01540072843218,3.36625280982929
50.0,2,191.0,0.509923757477566,1.0159851381236,3.35902164890517
50.0,2,192.0,0.509145530273735,1.01656414589437,3.3518538431234
50.0,2,193.0,0.508375730460539,1.01713782817459,3.34474989917057
50.0,2,194.0,0.507614212061899,1.01770625992143,3.33770761505063
50.0,2,195.0,0.506860832529055,1.01826951465517,3.33072651326057
50.0,2,196.0,0.50611545263951,1.01882766449414,3.32380574562588
50.0,2,197.0,0.50537793639965,1.01938078018851,3.31694447477288
50.0,2,198.0,0.504648150950717,1.01992893115335,3.31014187842077
50.0,2,199.0,0.503925966478037,1.02047218550068,3.3033971496971
50.0,2,200.0,0.503211256123637,1.02101061007058,3.29670943124729
50.0,2,201.0,0.50250389590146,1.02154427046171,3.29007807939527
50.0,2,202.0,0.501803764615804,1.02207323106087,3.28350226495656
50.0,2,203.0,0.501110743782504,1.02259755507202,3.27698123994198
50.0,2,204.0,0.500424717552816,1.02311730454526,3.27051432602028
50.0,2,205.0,0.499745572639752,1.02363254040477,3.26410068701972
50.0,2,206.0,0.499073198247001,1.02414332247839,3.25773967434807
50.0,2,207.0,0.498407486000347,1.02464970952754,3.25143059286729
50.0,2,208.0,0.497748329881323,1.02515175928161,3.24517275899337
50.0,2,209.0,0.497095626163374,1.02564952848128,3.23896549773069
50.0,2,210.0,0.496449273350664,1.02614307294557,3.23280812384293
50.0,2,211.0,0.495809172119843,1.02663244770632,3.22670013631887
50.0,2,212.0,0.495175225267823,1.02711770737633,3.22064074555594
50.0,2,213.0,0.494547337674588,1.02759890761865,3.21462937596278
50.0,2,214.0,0.493925416342006,1.02807606182203,3.20866541670679
50.0,2,215.0,0.493309367539245,1.0285492793708,3.20274826666765
50.0,2,216.0,0.492699106532022,1.02901856933438,3.19687733521226
50.0,2,217.0,0.492094541794946,1.02948402561066,3.19105204196396
50.0,2,218.0,0.49149561545952,1.0299456228395,3.18527181754707
50.0,2,219.0,0.490902168606973,1.03040347001898,3.17953609850877
50.0,2,220.0,0.490314184610824,1.03085765974147,3.17384433681355
50.0,2,221.0,0.489731716990136,1.03130813156131,3.16819598992364
50.0,2,222.0,0.489154439800233,1.03175497445779,3.16259052545102
50.0,2,223.0,0.488582181798887,1.0321982329953,3.15702741998372
50.0,2,224.0,0.48801519345364,1.03263795090523,3.15150615889585
50.0,2,225.0,0.487453266432994,1.03307417116018,3.14602623615666
50.0,2,226.0,0.486896326703121,1.03350693601226,3.14058715414914
50.0,2,227.0,0.486344302423412,1.03393628700433,3.13518842348819
50.0,2,228.0,0.485797123363398,1.03436226499871,3.12982956284891
50.0,2,229.0,0.485254720737496,1.03478491018782,3.12451009879666
50.0,2,230.0,0.484717027120779,1.03520426211012,3.11922956561987
50.0,2,231.0,0.484183976405619,1.03562035966415,3.11398750517094
50.0,2,232.0,0.483655503758409,1.03603324112207,3.10878346670933
50.0,2,233.0,0.483131545585442,1.03644294414296,3.10361700674632
50.0,2,234.0,0.482612039500784,1.03684950578476,3.0984876888981
50.0,2,235.0,0.482096924295947,1.03725296251725,3.09339508374133
50.0,2,236.0,0.481586139911056,1.03765335023347,3.08833876866686
50.0,2,237.0,0.481079627407076,1.03805070426191,3.08331832774625
50.0,2,238.0,0.480577328938888,1.03844505937693,3.07833335159439
50.0,2,239.0,0.480079187729806,1.03883644981057,3.07338343723935
