ppl,ub_ar,ub_ne,ub_he,urf_ar,urf_ne,urf_he,d1h_b_ar,d1h_b_ne,d1h_b_he,s_ar,s_ne,s_he
84.0,-196.06707506320043,-170.9719533408665,-172.40531255278478,232.569186423716,226.689227396543,236.004745630329,2.677802139822079,6.442548410475015,3.141628166469488,-0.439915429134012,0.161263722063396,0.843838058189404
85.0,-197.6161097655005,-172.58503079650637,-174.18204414217576,234.241549286897,228.406335946787,237.876591119161,2.7592963243718045,6.596784653609541,3.1781152285008973,-0.432636104734102,0.164603643306693,0.842217457172957
86.0,-199.15629833045114,-174.18899890824912,-175.94900892742172,235.904500580958,230.114074402748,239.738665875856,2.841658871981141,6.751574995692512,3.2143363451527143,-0.42544319824496,0.167871277190829,0.840625966603726
87.0,-200.68779084795761,-175.784009839263,-177.7063658171283,237.558198097801,231.812594670045,241.591121326268,2.9248746956041765,6.90688791480016,3.2502965208479018,-0.418335684666336,0.171068933846697,0.83906303458078
88.0,-202.21073321098356,-177.37021156526583,-179.45426944859497,239.20279526556,233.502044594647,243.434105025524,3.008928880164454,7.06269285897956,3.2860006387171774,-0.41131253936193,0.174198820617433,0.837528114071506
89.0,-203.72526727801846,-178.94774803414555,-181.19287034735132,240.838441315724,235.182568113087,245.267760795123,3.093806683407098,7.21896022270216,3.3214534627069257,-0.404372739022793,0.177263048150073,0.836020663462568
90.0,-205.231531027549,-180.516759317837,-182.9223150790848,242.465281442117,236.854305395612,247.092228853845,3.1794935365563606,7.375661323485991,3.356659639820011,-0.397515262550991,0.1802636360318,0.834540147035917
91.0,-206.7296587050089,-182.0773817569093,-184.6427463943998,244.083456952223,238.517392982665,248.907645942824,3.2659750447788363,7.532768378722089,3.391623702462633,-0.390739091872393,0.183202518011671,0.833086035447458
92.0,-208.21978096265062,-183.62974809828762,-186.35430336681918,245.693105411294,240.171963915075,250.714145445096,3.353236987473665,7.690254482741956,3.4263500708752046,-0.384043212682625,0.186081546844129,0.831657806137469
93.0,-209.7020249927509,-185.17398762650382,-188.05712152441123,247.294360779665,241.818147858313,252.511857499909,3.4412653183977144,7.848093584156036,3.4608430556181085,-0.377426615132031,0.188902498786912,0.830254943530391
94.0,-211.17651465453451,-186.71022628884384,-189.7513329753997,248.887353543652,243.456071221126,254.300909112085,3.53004616564409,8.006260463488651,3.495106860101079,-0.370888294453128,0.191667077783401,0.828876939507988
95.0,-212.6433705951745,-188.23858681473587,-191.4370665280909,250.472210840408,245.085857268877,256.081424256686,3.6195658314695485,8.164730711136176,3.5291455831355654,-0.364427251536996,0.194376919355384,0.827523293487309
96.0,-214.10271036520265,-189.75918882969972,-193.1144478054297,252.049056577067,246.707626231856,257.853523979227,3.709810792003815,8.32348070566086,3.5629632214947797,-0.358042493458974,0.197033594230916,0.826193512743776
97.0,-215.5546485286442,-191.27214896415782,-194.78359935447702,253.61801154449,248.321495408846,259.617326491672,3.800767696826892,8.482487592447336,3.596563672479223,-0.351733033960501,0.199638611728564,0.824887112494478
98.0,-216.99929676816672,-192.77758095738818,-196.44464075108252,255.17919352592,249.927579266193,261.37294726442,3.8924233684406073,8.641729262727686,3.629950736460455,-0.345497893887697,0.202193422917888,0.823603616081415
99.0,-218.43676398551685,-194.27559575688196,-198.09768870000738,256.732717400809,251.525989532607,263.120499114492,3.984764801633092,8.801184332991244,3.663128119413221,-0.339336101591184,0.204699423574174,0.822342555066067
100.0,-219.8671563975019,-195.7663016133519,-199.7428571307386,258.278695244081,253.116835289936,264.860092290097,4.077779162745963,8.960832124787641,3.696099435414796,-0.333246693289236,0.207157956943348,0.821103469296629
101.0,-221.29057762775238,-197.24980417162186,-201.3802572892194,259.817236421081,254.700223060095,266.591834551777,4.171453788856242,9.120652644931809,3.7288682091137013,-0.327228713396084,0.209570316331968,0.819885906978102
102.0,-222.70712879449346,-198.72620655761438,-203.00999782570722,261.348447678423,256.276256888366,268.31583125027,4.2657761868689255,9.280626566126065,3.76143787815917,-0.321281214819706,0.211937747535536,0.818689424672657
103.0,-224.1169085945324,-200.1956094616379,-204.63219120427317,262.872433230967,257.845038423251,270.032192094453,4.360734032541315,9.44073520793347,3.7938252197757127,-0.315403259228224,0.214261451118277,0.817513582726502
104.0,-225.52001338366188,-201.6581112181663,-206.24692816562012,264.389294845108,259.406666993034,271.741004116701,4.456315169432042,9.600960518316604,3.826005808986223,-0.309593917289574,0.216542584552687,0.816357963998485
105.0,-226.91653725366257,-203.11380788228792,-207.85431672178024,265.899131918583,260.961239679243,273.442372918542,4.552507607787028,9.761285055392355,3.857997165088189,-0.303852268884914,0.21878226423375,0.815222145280766
106.0,-228.30657210607973,-204.5627933029935,-209.4544559472588,267.40204155696,262.508851387137,275.136394929444,4.649299523366644,9.92169196975245,3.889802397237434,-0.298177403297718,0.22098156737241,0.814105716580377
107.0,-229.69020772293834,-206.005159193461,-211.0474427086827,268.898118646982,264.04959491338,276.823164514781,4.7466792562179165,10.082164987142404,3.9214245393150646,-0.292568419380257,0.223141533779616,0.813008276152963
108.0,-231.06753183454907,-207.4409951984865,-212.63337173319826,270.387455926917,265.583561011039,278.502774037159,4.844635309397724,10.242688391560636,3.9528665520441773,-0.287024425698949,0.225263167547848,0.811929430473217
109.0,-232.43863018455113,-208.8703889592024,-214.21233567416118,271.870144054076,267.110838452022,280.175313915411,4.94315634764998,10.403247008775654,3.984131325059972,-0.281544540659853,0.22734743863736,0.810868794145257
110.0,-233.80358659232792,-210.29342617521348,-215.78442517425228,273.346271669615,268.631514087092,281.840872681382,5.0422311960419535,10.563826190246354,4.015221678925041,-0.276127892615841,0.229395284373697,0.809825989814923
111.0,-235.1624830129241,-211.71019066427743,-217.3497289261376,274.81592546077,270.145672903556,283.499537034597,5.14184883856387,10.724411797451104,4.046140367086518,-0.2707736199563,0.231407610862619,0.808800648044292
112.0,-236.51539959458557,-213.12076441964626,-218.90833373079155,276.27919022065,271.653398080756,285.151391894913,5.241998416692268,10.884990186612825,4.07689007779843,-0.265480871181186,0.23338529432785,0.807792407288955
113.0,-237.86241473403572,-214.52522766518058,-220.4603245535921,277.736148905686,273.154771043444,286.796520453235,5.342669227925503,11.045548193821027,4.1074734359672425,-0.260248804959561,0.235329182377156,0.806800913711008
114.0,-239.2036051295969,-215.92365890834083,-222.00578457829002,279.186882690871,274.649871513162,288.435004220396,5.443850724291746,11.206073120560301,4.137893004958895,-0.255076590174478,0.237240095200256,0.805825821132099
115.0,-240.5390458322579,-217.31613499115537,-223.5447952589514,280.63147102287,276.138777557687,290.066923074272,5.5455325108271465,11.366552719586018,4.1681512883615905,-0.249963405955567,0.23911882670514,0.804866790884656
116.0,-241.868810294785,-218.70273113925847,-225.07743636996656,282.069991671121,277.621565638661,291.692355305214,5.647704344055276,11.526975181216804,4.198250731678834,-0.244908441694499,0.240966145594487,0.80392349170161
117.0,-243.19297041896587,-220.08352100908672,-226.6037860542097,283.502520777006,279.098310657466,293.311377659863,5.750356130394022,11.687329119975212,4.228193723988614,-0.239910897061785,0.242782796387281,0.802995599590396
118.0,-244.51159660107305,-221.45857673331886,-228.12392086943618,284.929132901182,280.569085999426,294.924065383427,5.853477924618179,11.847603561601519,4.257982599545797,-0.234969981996006,0.244569500388725,0.802082797715331
119.0,-245.8247577756287,-222.82796896463714,-229.63791583299303,286.34990106916,282.033963576418,296.530492260482,5.957059928251167,12.007787930430412,4.287619639342343,-0.230084916696424,0.246326956611481,0.801184776300436
120.0,-247.13252145754737,-224.191766917885,-231.1458444649184,287.764896815208,283.493013867949,298.130730654353,6.06109248797114,12.167872037105287,4.3171070726094545,-0.225254931600906,0.248055842651524,0.800301232345884
121.0,-248.43495378272846,-225.55003841069407,-232.6477788295008,289.174190224652,284.946305960783,299.724851545147,6.165566093995554,12.327846066651775,4.346447078293848,-0.22047926735708,0.249756815520972,0.799431869808928
122.0,-249.73211954717,-226.90284990264672,-234.1437895753629,290.577849974642,286.393907587157,301.312924566484,6.270471378479427,12.487700566878438,4.375641786466437,-0.215757174783696,0.251430512440762,0.798576399145737
123.0,-251.02408224466603,-228.2502665330379,-235.63394597413722,291.975943373464,287.83588516167,302.895018040982,6.37579911385959,12.647426437110504,4.404693279703216,-0.211087914829298,0.253077551595339,0.797734537412252
124.0,-252.31090410315323,-229.59235215729788,-237.1183159577898,293.368536398448,289.272303816884,304.471199014555,6.481540211256128,12.807014917247201,4.433603594418593,-0.206470758518467,0.25469853285168,0.796906007960998
125.0,-253.59264611976073,-230.92916938213295,-238.59696615465202,294.75569373253,290.703227437704,306.041533289558,6.587685718825365,12.966457577129706,4.462374722160336,-0.201904986896078,0.256294038444646,0.796090540429993
126.0,-254.86936809462537,-232.26077959943913,-240.0699619242141,296.137478799544,292.128718694575,307.606085456839,6.694226820127594,13.125746306221025,4.491008610844753,-0.197389890964778,0.257864633630569,0.795287870606298
127.0,-256.1411286635192,-233.58724301904044,-241.53736739073136,297.513953798281,293.548839075558,309.164918926738,6.801154832494588,13.28487330358603,4.519507166001989,-0.192924771616725,0.259410867310931,0.794497740222438
128.0,-257.40798532934366,-234.90861870030193,-242.99924547569327,298.885179735366,294.963648917323,310.718095959067,6.908461205393878,13.443831068160032,4.547872251927857,-0.188508939561857,0.260933272627698,0.793719896911353
129.0,-258.6699944925368,-236.22497580235347,-244.4556579292026,300.251216457024,296.373219449845,312.265677692127,7.016137518804339,13.602655386729502,4.576105692823456,-0.184141715249127,0.262432380234279,0.792954094013668
130.0,-259.92721148043836,-237.5363480666015,-245.9066653603062,301.61212267975,297.777584051874,313.807724170784,7.124175481576024,13.761251832487643,4.604209273909437,-0.179822428789232,0.263908667137934,0.792200090468466
131.0,-261.1796905756586,-238.8428031968602,-247.35232726632483,302.967956019956,299.176812541673,315.34429437365,7.232566929811725,13.91965831416746,4.6321847424840135,-0.17555041986745,0.265362636159773,0.791457650766356
132.0,-262.4274850434884,-240.14439594469331,-248.79270206121748,304.31877302262,300.570960938916,316.875446239403,7.341303825280329,14.077868435073675,4.6600338089656885,-0.17132503765492,0.266794762839431,0.790726544702034
133.0,-263.6706471583925,-241.44118005399815,-250.22784710302136,305.664629188981,301.960084252165,318.401236692275,7.450378253732571,14.235876054166738,4.6877581478935815,-0.167145640723231,0.268205509563833,0.790006547314103
