       2.42       1.97       4.27       5.52       7.34      21.28      32.87
       2.43       1.95       4.24       5.48       7.29      21.13      32.64
       2.44       1.94       4.21       5.45       7.24      20.98      32.42
       2.45       1.92       4.19       5.41       7.19      20.84      32.19
       2.46       1.91       4.16       5.37       7.14      20.69      31.97
       2.47       1.90       4.13       5.33       7.09      20.55      31.76
       2.48       1.89       4.10       5.30       7.05      20.41      31.54
       2.49       1.87       4.07       5.26       7.00      20.28      31.33
        2.5       1.86       4.05       5.23       6.95      20.14      31.12
       2.51       1.85       4.02       5.19       6.91      20.01      30.91
       2.52       1.84       3.99       5.16       6.86      19.88      30.71
       2.53       1.82       3.97       5.12       6.82      19.75      30.51
       2.54       1.81       3.94       5.09       6.77      19.62      30.31
       2.55       1.80       3.92       5.06       6.73      19.49      30.12
       2.56       1.79       3.89       5.03       6.69      19.37      29.92
       2.57       1.78       3.87       4.99       6.64      19.24      29.73
       2.58       1.77       3.84       4.96       6.60      19.12      29.54
       2.59       1.76       3.82       4.93       6.56      19.00      29.36
        2.6       1.74       3.79       4.90       6.52      18.88      29.18
