ppl,f,ub_ar,ub_ne,ub_he,urf_ar,urf_ne,urf_he,d1h_b_ar,d1h_b_ne,d1h_b_he,s_ar,s_ne,s_he
2.0,70.0,16.584873692577656,42.64862797181087,53.13302021074094,7.71728463885195,7.37523696012282,8.15268934205068,0.0,0.0,0.0,-2.0,-2.0,-2.0
2.0,80.0,19.3215977819646,45.864843274898284,56.743502823523464,5.57305551420546,5.47266570831299,6.24443153424573,0.0,0.0,0.0,-2.0,-2.0,-2.0
2.0,90.0,21.356524037395687,48.38966961577693,59.61278950488702,4.1289974597591,4.1753446278397,4.92392149328894,0.0,0.0,0.0,-2.0,-2.0,-2.0
2.0,100.0,22.937398890053803,50.454390703657985,61.979828260071926,3.12534294778934,3.25847497556704,3.97419004740557,0.0,0.0,0.0,-2.0,-2.0,-2.0
3.0,30.0,-36.58808213638958,-11.992575013374271,-5.387732275678182,60.4601676719614,56.1122035613336,57.2082428183577,0.0,0.0,0.004211948527466229,-1.0,-1.0,1.0
3.0,40.0,-14.203989610935263,10.64897871500608,18.729865416198614,37.2632864483516,34.0708363995464,34.681863323504,0.0,0.0,0.0,-1.0,-2.0,-2.0
3.0,50.0,-1.6620940561995035,23.344282041882856,32.214463375987904,24.6364251343712,22.4532409109524,23.0648947240531,0.0,0.0,0.0,-2.0,-2.0,-2.0
3.0,60.0,6.121859896486573,31.339481191604897,40.76648204921554,17.0836473902988,15.6632197436149,16.3495432203258,0.0,0.0,0.0,-2.0,-2.0,-2.0
3.0,70.0,11.308486479548618,36.81316807503627,46.69461288639668,12.2758642635787,11.3992164262239,12.1438649479701,0.0,0.0,0.0,-2.0,-2.0,-2.0
3.0,80.0,14.959034205455051,40.808067323754656,51.0833113936738,9.0730579417301,8.57324892114277,9.34760228530167,0.0,0.0,0.0,-2.0,-2.0,-2.0
3.0,90.0,17.646593020052553,43.87478302593878,54.49891688059511,6.86236862232538,6.61946915575492,7.40006399470109,0.0,0.0,0.0,-2.0,-2.0,-2.0
3.0,100.0,19.702238183089428,46.32643256341832,57.26214401670014,5.29175504436824,5.22178240168285,5.99240141501399,0.0,0.0,0.0,-2.0,-2.0,-2.0
4.0,30.0,-50.94267022972132,-26.6194832843388,-21.13341859547309,75.5629782136911,70.8337087880249,72.591577998343,0.0,0.0,0.024668323377243558,-1.0,-1.0,1.0
4.0,40.0,-24.374771333449708,0.36368617762664,7.779570390238831,47.7314881165632,43.9343645230468,44.7061433490326,0.0,0.0,0.0,-1.0,-2.0,-2.0
4.0,50.0,-9.297278353610423,15.597872615802572,23.96980740901932,32.2760590153105,29.4510869289987,30.0515621614274,0.0,0.0,0.0,-2.0,-2.0,-2.0
4.0,60.0,0.16363005427399457,25.201292501101044,34.184976820994734,22.8386884890412,20.8297615980121,21.462100912339,0.0,0.0,0.0,-2.0,-2.0,-2.0
4.0,70.0,6.516269837574431,31.747342791400293,41.1994197453524,16.7101808650549,15.3327760570182,16.0281589246454,0.0,0.0,0.0,-2.0,-2.0,-2.0
4.0,80.0,11.003974020009633,36.48460133760951,46.33163601302526,12.5509666108363,11.6436197196775,12.3882641629034,0.0,0.0,0.0,-2.0,-2.0,-2.0
4.0,90.0,14.306448568600603,40.08049162312133,50.275578693299884,9.63097772855176,9.06621860918824,9.838900786839,0.0,0.0,0.0,-2.0,-2.0,-2.0
4.0,100.0,16.82180961395902,42.918337548475975,53.42594449885396,7.52424211453007,7.20596256194877,7.98825607651566,0.0,0.0,0.0,-2.0,-2.0,-2.0
5.0,30.0,-63.81096139942033,-39.79338301062429,-35.41285242883861,89.1905596634479,84.2869068168344,86.8244259431089,0.0,0.004245161176640058,0.06097259518871528,-1.0,-0.899010798826452,1.0001365736296
5.0,40.0,-33.58871047238685,-8.978765863344144,-2.2067616542842643,57.3218872901543,53.1160005088453,54.1522909386188,0.0,0.0,0.0042463883424539205,-1.0,-1.0,1.0
5.0,50.0,-16.28560532636676,8.531163313575249,16.45494321938527,39.3930239746121,36.0757478957783,36.7292126299459,0.0,0.0,0.0,-1.0,-2.0,-2.0
5.0,60.0,-5.33666365573745,19.602968448679736,28.217155248652464,28.2914624362041,25.7919810559655,26.4004988408785,0.0,0.0,0.0,-2.0,-2.0,-2.0
5.0,70.0,2.066330561300113,27.146418558109158,36.257287554875205,20.9804784031564,19.1568384086016,19.8098425186938,0.0,0.0,0.0,-2.0,-2.0,-2.0
5.0,80.0,7.32131307985868,32.58627359224732,42.10002164389964,15.9514055304579,14.658939979018,15.3662808617801,0.0,0.0,0.0,-2.0,-2.0,-2.0
5.0,90.0,11.19766866355091,36.691181390790966,46.55380034370362,12.3758568872942,11.4897625333425,12.2384547457188,0.0,0.0,0.0,-2.0,-2.0,-2.0
5.0,100.0,14.149887873855137,39.90625865080595,50.08078879706851,9.76588295024757,9.18580546520773,9.95903572651144,0.0,0.0,0.0,-2.0,-2.0,-2.0
6.0,30.0,-75.57704687822749,-51.88186140304805,-48.589493832247285,101.703679666745,96.7487040187993,100.130816599785,1.9353649891104486e-05,0.022632921551378422,0.10781911709267464,-0.999920007680138,-0.746593895796081,0.985321136218403
6.0,40.0,-42.074209375687,-17.6105075841171,-11.474827340912292,66.2173521698837,61.7340779886925,63.1087205770728,0.0,0.0,0.017339710883436076,-1.0,-1.0,1.0
6.0,50.0,-22.77012770527109,1.9717809123977759,9.468951323659027,46.0704606014522,42.3729566579893,43.1339048818185,0.0,0.0,0.0,-1.0,-2.0,-2.0
6.0,60.0,-10.475934615402586,14.39740093394041,22.67966340194427,33.4694028594531,30.5625441347181,31.179634942149,0.0,0.0,0.0,-2.0,-2.0,-2.0
6.0,70.0,-2.1148083523299057,22.87273160264821,31.691825384286556,25.0842142084288,22.8692655124362,23.4948403304274,0.0,0.0,0.0,-2.0,-2.0,-2.0
6.0,80.0,3.8479696302737345,28.977611637117636,38.21471007823263,19.2567743141859,17.6107046896772,18.2835934622313,0.0,0.0,0.0,-2.0,-2.0,-2.0
6.0,90.0,8.260336411263731,33.57025086552105,43.16059006127884,15.0727268366814,13.8791362071519,14.5988380555008,0.0,0.0,0.0,-2.0,-2.0,-2.0
6.0,100.0,11.625870975906606,37.150957330297885,47.053607216968544,11.9902752801955,11.149697429274,11.9040005186524,0.0,0.0,0.0,-2.0,-2.0,-2.0
7.0,30.0,-86.48359865638145,-63.11764429930605,-60.89252365408019,113.337478498957,108.409061671604,112.6706315563,0.002626351846724205,0.05670917784006856,0.16020752232300822,-0.992369706832276,-0.635004209458697,0.959530055314476
7.0,40.0,-49.98087287623986,-25.677835783813173,-20.17402916651821,74.5473879851082,69.8783085525119,71.643816942996,0.0,0.0,0.04061167468829229,-1.0,-1.0,1.0
7.0,50.0,-28.84685940766711,-4.185024491873158,2.8954553084590913,52.3759295919727,48.3829177641951,49.2957148148177,0.0,0.0,0.002205937098644285,-1.0,-1.0,1.0
7.0,60.0,-15.31885429385121,9.499485995565088,17.470106679932478,38.4029906469233,35.1571523387346,35.8130489694092,0.0,0.0,0.0,-1.0,-2.0,-2.0
7.0,70.0,-6.074169045378223,18.849960225193616,27.4067215581344,29.0302101662086,26.4737463873349,27.0892332722803,0.0,0.0,0.0,-2.0,-2.0,-2.0
7.0,80.0,0.5463155427127191,25.585688921743735,34.58202536447631,22.4636268444595,20.4968228493772,21.1427908636134,0.0,0.0,0.0,-2.0,-2.0,-2.0
7.0,90.0,5.461171026568476,30.645499701125924,40.00334668751089,17.7116563400496,16.2295792381082,16.9209470688192,0.0,0.0,0.0,-2.0,-2.0,-2.0
7.0,100.0,9.217882055897904,34.57964004028335,44.25213630109556,14.1844186596696,13.0917639438435,13.8232054250323,0.0,0.0,0.0,-2.0,-2.0,-2.0
8.0,30.0,-96.69558282793236,-73.65986421905436,-72.47915971236439,124.25492711339,119.404535565572,124.562587043882,0.011533241088173581,0.10639651387822155,0.2146542052794844,-0.974689067573754,-0.553647543417252,0.931906962853154
